id;kode_provinsi;nama_provinsi;bps_kode_kabupaten_kota;bps_nama_kabupaten_kota;bulan;kategori_bencana_lainnya;jumlah_bencana;satuan;tahun
4;32;JAWA BARAT;3273;KOTA BANDUNG;JANUARI;BANJIR;0;BENCANA;2017
12;32;JAWA BARAT;3273;KOTA BANDUNG;FEBRUARI;BANJIR;0;BENCANA;2017
20;32;JAWA BARAT;3273;KOTA BANDUNG;MARET;BANJIR;1;BENCANA;2017
28;32;JAWA BARAT;3273;KOTA BANDUNG;APRIL;BANJIR;0;BENCANA;2017
36;32;JAWA BARAT;3273;KOTA BANDUNG;MEI;BANJIR;0;BENCANA;2017
44;32;JAWA BARAT;3273;KOTA BANDUNG;JUNI;BANJIR;0;BENCANA;2017
52;32;JAWA BARAT;3273;KOTA BANDUNG;JULI;BANJIR;0;BENCANA;2017
60;32;JAWA BARAT;3273;KOTA BANDUNG;AGUSTUS;BANJIR;0;BENCANA;2017
68;32;JAWA BARAT;3273;KOTA BANDUNG;SEPTEMBER;BANJIR;0;BENCANA;2017
76;32;JAWA BARAT;3273;KOTA BANDUNG;OKTOBER;BANJIR;0;BENCANA;2017
84;32;JAWA BARAT;3273;KOTA BANDUNG;NOVEMBER;BANJIR;0;BENCANA;2017
92;32;JAWA BARAT;3273;KOTA BANDUNG;DESEMBER;BANJIR;0;BENCANA;2017
100;32;JAWA BARAT;3273;KOTA BANDUNG;JANUARI;BANJIR;0;BENCANA;2018
108;32;JAWA BARAT;3273;KOTA BANDUNG;FEBRUARI;BANJIR;1;BENCANA;2018
116;32;JAWA BARAT;3273;KOTA BANDUNG;MARET;BANJIR;1;BENCANA;2018
124;32;JAWA BARAT;3273;KOTA BANDUNG;APRIL;BANJIR;1;BENCANA;2018
132;32;JAWA BARAT;3273;KOTA BANDUNG;MEI;BANJIR;1;BENCANA;2018
140;32;JAWA BARAT;3273;KOTA BANDUNG;JUNI;BANJIR;0;BENCANA;2018
148;32;JAWA BARAT;3273;KOTA BANDUNG;JULI;BANJIR;0;BENCANA;2018
156;32;JAWA BARAT;3273;KOTA BANDUNG;AGUSTUS;BANJIR;0;BENCANA;2018
164;32;JAWA BARAT;3273;KOTA BANDUNG;SEPTEMBER;BANJIR;0;BENCANA;2018
172;32;JAWA BARAT;3273;KOTA BANDUNG;OKTOBER;BANJIR;0;BENCANA;2018
180;32;JAWA BARAT;3273;KOTA BANDUNG;NOVEMBER;BANJIR;1;BENCANA;2018
188;32;JAWA BARAT;3273;KOTA BANDUNG;DESEMBER;BANJIR;1;BENCANA;2018
196;32;JAWA BARAT;3273;KOTA BANDUNG;JANUARI;BANJIR;0;BENCANA;2019
204;32;JAWA BARAT;3273;KOTA BANDUNG;FEBRUARI;BANJIR;0;BENCANA;2019
212;32;JAWA BARAT;3273;KOTA BANDUNG;MARET;BANJIR;0;BENCANA;2019
220;32;JAWA BARAT;3273;KOTA BANDUNG;APRIL;BANJIR;1;BENCANA;2019
228;32;JAWA BARAT;3273;KOTA BANDUNG;MEI;BANJIR;0;BENCANA;2019
236;32;JAWA BARAT;3273;KOTA BANDUNG;JUNI;BANJIR;0;BENCANA;2019
244;32;JAWA BARAT;3273;KOTA BANDUNG;JULI;BANJIR;0;BENCANA;2019
252;32;JAWA BARAT;3273;KOTA BANDUNG;AGUSTUS;BANJIR;0;BENCANA;2019
260;32;JAWA BARAT;3273;KOTA BANDUNG;SEPTEMBER;BANJIR;0;BENCANA;2019
268;32;JAWA BARAT;3273;KOTA BANDUNG;OKTOBER;BANJIR;0;BENCANA;2019
276;32;JAWA BARAT;3273;KOTA BANDUNG;NOVEMBER;BANJIR;0;BENCANA;2019
284;32;JAWA BARAT;3273;KOTA BANDUNG;DESEMBER;BANJIR;0;BENCANA;2019
292;32;JAWA BARAT;3273;KOTA BANDUNG;JANUARI;BANJIR;2;BENCANA;2020
300;32;JAWA BARAT;3273;KOTA BANDUNG;FEBRUARI;BANJIR;0;BENCANA;2020
308;32;JAWA BARAT;3273;KOTA BANDUNG;MARET;BANJIR;1;BENCANA;2020
316;32;JAWA BARAT;3273;KOTA BANDUNG;APRIL;BANJIR;0;BENCANA;2020
324;32;JAWA BARAT;3273;KOTA BANDUNG;MEI;BANJIR;0;BENCANA;2020
332;32;JAWA BARAT;3273;KOTA BANDUNG;JUNI;BANJIR;0;BENCANA;2020
340;32;JAWA BARAT;3273;KOTA BANDUNG;JULI;BANJIR;0;BENCANA;2020
348;32;JAWA BARAT;3273;KOTA BANDUNG;AGUSTUS;BANJIR;0;BENCANA;2020
356;32;JAWA BARAT;3273;KOTA BANDUNG;SEPTEMBER;BANJIR;0;BENCANA;2020
364;32;JAWA BARAT;3273;KOTA BANDUNG;OKTOBER;BANJIR;0;BENCANA;2020
372;32;JAWA BARAT;3273;KOTA BANDUNG;NOVEMBER;BANJIR;0;BENCANA;2020
