nama_provinsi,bps_nama_kabupaten_kota,bulan,kategori_bencana_lainnya,jumlah_bencana,tahun
Jawa Barat,Kota Bandung,Januari,Banjir,0,2017
Jawa Barat,Kota Bandung,Februari,Banjir,0,2017
Jawa Barat,Kota Bandung,Maret,Banjir,1,2017
Jawa Barat,Kota Bandung,April,Banjir,0,2017
Jawa Barat,Kota Bandung,Mei,Banjir,0,2017
Jawa Barat,Kota Bandung,Juni,Banjir,0,2017
Jawa Barat,Kota Bandung,Juli,Banjir,0,2017
Jawa Barat,Kota Bandung,Agustus,Banjir,0,2017
Jawa Barat,Kota Bandung,September,Banjir,0,2017
Jawa Barat,Kota Bandung,Oktober,Banjir,0,2017
Jawa Barat,Kota Bandung,November,Banjir,0,2017
Jawa Barat,Kota Bandung,Desember,Banjir,0,2017
Jawa Barat,Kota Bandung,Januari,Banjir,0,2018
Jawa Barat,Kota Bandung,Februari,Banjir,1,2018
Jawa Barat,Kota Bandung,Maret,Banjir,1,2018
Jawa Barat,Kota Bandung,April,Banjir,1,2018
Jawa Barat,Kota Bandung,Mei,Banjir,1,2018
Jawa Barat,Kota Bandung,Juni,Banjir,0,2018
Jawa Barat,Kota Bandung,Juli,Banjir,0,2018
Jawa Barat,Kota Bandung,Agustus,Banjir,0,2018
Jawa Barat,Kota Bandung,September,Banjir,0,2018
Jawa Barat,Kota Bandung,Oktober,Banjir,0,2018
Jawa Barat,Kota Bandung,November,Banjir,1,2018
Jawa Barat,Kota Bandung,Desember,Banjir,1,2018
Jawa Barat,Kota Bandung,Januari,Banjir,0,2019
Jawa Barat,Kota Bandung,Februari,Banjir,0,2019
Jawa Barat,Kota Bandung,Maret,Banjir,0,2019
Jawa Barat,Kota Bandung,April,Banjir,1,2019
Jawa Barat,Kota Bandung,Mei,Banjir,0,2019
Jawa Barat,Kota Bandung,Juni,Banjir,0,2019
Jawa Barat,Kota Bandung,Juli,Banjir,0,2019
Jawa Barat,Kota Bandung,Agustus,Banjir,0,2019
Jawa Barat,Kota Bandung,September,Banjir,0,2019
Jawa Barat,Kota Bandung,Oktober,Banjir,0,2019
Jawa Barat,Kota Bandung,November,Banjir,0,2019
Jawa Barat,Kota Bandung,Desember,Banjir,0,2019
Jawa Barat,Kota Bandung,Januari,Banjir,2,2020
Jawa Barat,Kota Bandung,Februari,Banjir,0,2020
Jawa Barat,Kota Bandung,Maret,Banjir,1,2020
Jawa Barat,Kota Bandung,April,Banjir,0,2020
Jawa Barat,Kota Bandung,Mei,Banjir,0,2020
Jawa Barat,Kota Bandung,Juni,Banjir,0,2020
Jawa Barat,Kota Bandung,Juli,Banjir,0,2020
Jawa Barat,Kota Bandung,Agustus,Banjir,0,2020
Jawa Barat,Kota Bandung,September,Banjir,0,2020
Jawa Barat,Kota Bandung,Oktober,Banjir,0,2020
Jawa Barat,Kota Bandung,November,Banjir,0,2020
Jawa Barat,Kota Bandung,Desember,Banjir,1,2020
Jawa Barat,Kota Bandung,Januari,Banjir,0,2021
Jawa Barat,Kota Bandung,Februari,Banjir,0,2021
Jawa Barat,Kota Bandung,Maret,Banjir,0,2021
Jawa Barat,Kota Bandung,April,Banjir,0,2021
Jawa Barat,Kota Bandung,Mei,Banjir,0,2021
Jawa Barat,Kota Bandung,Juni,Banjir,0,2021
Jawa Barat,Kota Bandung,Juli,Banjir,0,2021
Jawa Barat,Kota Bandung,Agustus,Banjir,0,2021
Jawa Barat,Kota Bandung,September,Banjir,0,2021
Jawa Barat,Kota Bandung,Oktober,Banjir,0,2021
Jawa Barat,Kota Bandung,November,Banjir,4,2021
Jawa Barat,Kota Bandung,Desember,Banjir,0,2021
Jawa Barat,Kota Bandung,Januari,Banjir,0,2022
Jawa Barat,Kota Bandung,Februari,Banjir,0,2022
Jawa Barat,Kota Bandung,Maret,Banjir,0,2022
Jawa Barat,Kota Bandung,April,Banjir,1,2022
Jawa Barat,Kota Bandung,Mei,Banjir,1,2022
Jawa Barat,Kota Bandung,Juni,Banjir,0,2022
Jawa Barat,Kota Bandung,Juli,Banjir,0,2022
Jawa Barat,Kota Bandung,Agustus,Banjir,0,2022
Jawa Barat,Kota Bandung,September,Banjir,0,2022
Jawa Barat,Kota Bandung,Oktober,Banjir,1,2022
Jawa Barat,Kota Bandung,November,Banjir,0,2022
Jawa Barat,Kota Bandung,Desember,Banjir,1,2022
